,addr_state,annual_inc,application_type,dti,dti_joint,emp_length,emp_title,funded_amnt,home_ownership,issue_d,loan_status,member_id,open_acc,pub_rec,purpose,term,zip_code,open_il_12m,total_bal_il,id
325,IL,36000.0,Individual,30.03,,8 years,Field Service Tech,5000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,medical, 36 months,601xx,,,37681666
326,OH,85000.0,Individual,18.75,,< 1 year,"Associate Director, Relationship Mgmt.",35000.0,MORTGAGE,Dec-2014,Fully Paid,,6.0,0.0,credit_card, 36 months,442xx,,,37781781
327,TX,75000.0,Individual,21.74,,10+ years,Asst. Section Head,10000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,car, 36 months,778xx,,,37217579
328,NJ,63000.0,Individual,14.53,,6 years,Client Services Account Manager,5700.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,other, 36 months,070xx,,,37821608
329,VA,40000.0,Individual,16.8,,1 year,customer service representative,10000.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,other, 36 months,231xx,,,37831402
330,NV,80000.0,Individual,15.54,,8 years,Police Officer,12000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,895xx,,,37801656
331,WV,44000.0,Individual,10.28,,10+ years,Sales,10000.0,OWN,Dec-2014,Fully Paid,,11.0,1.0,credit_card, 60 months,260xx,,,37177831
332,IN,75000.0,Individual,12.98,,10+ years,Manufacturing Engineer,2500.0,OWN,Dec-2014,Fully Paid,,5.0,1.0,other, 36 months,462xx,,,37811713
333,NM,32000.0,Individual,8.89,,7 years,Technology Coordinator,8000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,871xx,,,37701628
334,MI,64000.0,Individual,31.56,,10+ years,Department Manager,12000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,1.0,home_improvement, 36 months,481xx,,,36802944
335,VA,95000.0,Individual,23.31,,4 years,IT SPECIALIST,1000.0,MORTGAGE,Dec-2014,Fully Paid,,20.0,0.0,other, 36 months,221xx,,,37821618
336,MI,64000.0,Individual,25.78,,10+ years,Administrative Assistant,16000.0,MORTGAGE,Dec-2014,Current,,13.0,0.0,debt_consolidation, 60 months,486xx,,,37640708
337,NC,32000.0,Individual,27.79,,10+ years,Data Manager,13400.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,275xx,,,37641457
338,WA,85000.0,Individual,10.22,,4 years,Business Analyst,24000.0,MORTGAGE,Dec-2014,Charged Off,,7.0,0.0,debt_consolidation, 60 months,983xx,,,37841570
339,NJ,220000.0,Individual,9.99,,< 1 year,Vice President - Control Manager,25000.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 60 months,080xx,,,37751107
340,IL,100000.0,Individual,33.03,,< 1 year,Senior Compliance Manager,7000.0,RENT,Dec-2014,Fully Paid,,18.0,0.0,debt_consolidation, 36 months,600xx,,,37831639
341,OR,95000.0,Individual,24.25,,2 years,Service Delivery Manager - Nike,12000.0,MORTGAGE,Dec-2014,Charged Off,,14.0,0.0,debt_consolidation, 36 months,970xx,,,37731637
342,LA,115000.0,Individual,4.82,,2 years,Diabetes Care Specialist ,6000.0,MORTGAGE,Dec-2014,Fully Paid,,3.0,0.0,debt_consolidation, 36 months,705xx,,,37711640
343,WA,35000.0,Individual,16.91,,2 years,Secretary,7000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,993xx,,,37701646
344,FL,46000.0,Individual,15.45,,10+ years,Administrative Specialist,21000.0,MORTGAGE,Dec-2014,Fully Paid,,19.0,0.0,debt_consolidation, 36 months,323xx,,,17343158
345,CA,79500.0,Individual,20.72,,10+ years,Staff Information Systems Analyst,35000.0,RENT,Dec-2014,Current,,17.0,1.0,debt_consolidation, 60 months,958xx,,,37671673
346,VA,102000.0,Individual,16.14,,8 years,Community Housing Officer,30000.0,MORTGAGE,Dec-2014,Current,,12.0,0.0,debt_consolidation, 60 months,201xx,,,37631658
347,UT,65000.0,Individual,12.17,,2 years,Marketing Executive,1500.0,OWN,Dec-2014,Fully Paid,,8.0,0.0,car, 36 months,846xx,,,37721682
348,NJ,50478.0,Individual,6.22,,1 year,School Psychologist ,14000.0,MORTGAGE,Dec-2014,Current,,22.0,0.0,home_improvement, 60 months,070xx,,,37721677
349,NJ,65000.0,Individual,19.89,,8 years,teacher,6000.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,medical, 36 months,079xx,,,37601716
350,AZ,100000.0,Individual,7.87,,10+ years,Field tech,12000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,credit_card, 60 months,853xx,,,37067173
351,VA,66000.0,Individual,9.76,,5 years,Office manager/bookkeeper,10000.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 60 months,220xx,,,36803487
352,IN,54000.0,Individual,15.2,,< 1 year,Financial Analyst,12000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,credit_card, 36 months,460xx,,,37691724
353,CA,150000.0,Individual,10.63,,< 1 year,Software Engineer,15000.0,RENT,Dec-2014,Current,,8.0,0.0,credit_card, 60 months,900xx,,,37641672
354,CA,48000.0,Individual,23.08,,9 years,specialty lab technician,15000.0,MORTGAGE,Dec-2014,Charged Off,,9.0,0.0,other, 36 months,920xx,,,37127479
355,VA,42000.0,Individual,28.0,,4 years,Radio Frequency Engineer,10500.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,240xx,,,37077276
356,FL,80000.0,Individual,14.12,,10+ years,Instructor,13000.0,RENT,Dec-2014,Fully Paid,,10.0,1.0,debt_consolidation, 36 months,331xx,,,37711641
357,TN,50000.0,Individual,31.65,,10+ years,Owner/master groomer,10000.0,OWN,Dec-2014,Current,,10.0,0.0,home_improvement, 60 months,377xx,,,37791598
358,LA,26880.0,Individual,29.21,,1 year,Front Office Supervisor ,5000.0,RENT,Dec-2014,Charged Off,,16.0,0.0,debt_consolidation, 36 months,700xx,,,37671674
359,IN,40221.0,Individual,23.9,,,,12000.0,RENT,Dec-2014,Fully Paid,,11.0,1.0,credit_card, 36 months,462xx,,,37328751
360,FL,60590.0,Individual,12.14,,,,10000.0,MORTGAGE,Dec-2014,Current,,11.0,1.0,debt_consolidation, 60 months,320xx,,,37600949
361,MI,72000.0,Individual,24.7,,10+ years,Operations Manager,30000.0,MORTGAGE,Dec-2014,Charged Off,,20.0,0.0,debt_consolidation, 60 months,481xx,,,37830850
362,WI,105000.0,Individual,17.09,,10+ years,PROGRAM MANAGER,35000.0,MORTGAGE,Dec-2014,Fully Paid,,23.0,0.0,debt_consolidation, 36 months,549xx,,,37761657
363,CO,105000.0,Individual,13.31,,10+ years,District Manager,16000.0,MORTGAGE,Dec-2014,Current,,17.0,1.0,debt_consolidation, 60 months,800xx,,,37177841
364,WI,70000.0,Individual,23.9,,3 years,Director,11000.0,MORTGAGE,Dec-2014,Fully Paid,,22.0,1.0,credit_card, 36 months,532xx,,,37841594
365,GA,45000.0,Individual,26.9,,< 1 year,associate,8000.0,OWN,Dec-2014,Fully Paid,,26.0,0.0,car, 36 months,301xx,,,37841552
366,NJ,88000.0,Individual,15.67,,9 years,Logistics Specialist,12000.0,MORTGAGE,Dec-2014,Fully Paid,,16.0,1.0,debt_consolidation, 36 months,080xx,,,37631643
367,VA,140000.0,Individual,14.2,,2 years,Director Facilities,35000.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,201xx,,,37831674
368,PA,90000.0,Individual,7.61,,3 years,"DIRECTOR, HUMAN RESOURCES",6000.0,MORTGAGE,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,158xx,,,37651617
369,CA,55000.0,Individual,26.23,,< 1 year,admission,11875.0,OWN,Dec-2014,Fully Paid,,28.0,1.0,credit_card, 36 months,921xx,,,37800583
370,VA,69000.0,Individual,14.86,,10+ years,Service Director,13000.0,MORTGAGE,Dec-2014,Current,,12.0,0.0,credit_card, 60 months,231xx,,,37831116
371,AZ,37000.0,Individual,18.78,,1 year,Case Manager,10000.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,852xx,,,37691383
372,MN,90000.0,Individual,29.92,,10+ years,CICS Systems Programmer,25000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,credit_card, 60 months,550xx,,,37741625
373,IL,100000.0,Individual,15.8,,2 years,"Architect, Engineering",15000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,601xx,,,37761508
374,TX,110000.0,Individual,18.81,,10+ years,Claims,16000.0,MORTGAGE,Dec-2014,Charged Off,,12.0,0.0,debt_consolidation, 60 months,770xx,,,37600999
375,FL,148320.0,Individual,14.69,,5 years,Sales Manager,24500.0,RENT,Dec-2014,Fully Paid,,11.0,1.0,debt_consolidation, 60 months,334xx,,,37681641
376,CA,98500.0,Individual,8.93,,2 years,Solutions Engineer,25000.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,major_purchase, 36 months,944xx,,,37771658
377,AR,55000.0,Individual,12.83,,< 1 year,Financial Advisor,11200.0,MORTGAGE,Dec-2014,Charged Off,,8.0,0.0,debt_consolidation, 60 months,722xx,,,36059066
378,MD,112000.0,Individual,13.59,,5 years,System Administrator,10000.0,MORTGAGE,Dec-2014,Current,,12.0,0.0,debt_consolidation, 60 months,206xx,,,37741604
379,TX,84000.0,Individual,17.22,,10+ years,Internet engineer,30225.0,MORTGAGE,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 60 months,750xx,,,37681573
380,TX,150000.0,Individual,27.1,,10+ years,unit director,27000.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 60 months,785xx,,,37427158
381,KY,275000.0,Individual,12.43,,10+ years,Dentist/owner,28000.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,small_business, 36 months,402xx,,,37127806
382,NJ,93685.0,Individual,6.7,,10+ years,TRAIN OPERATOR,5000.0,RENT,Dec-2014,Fully Paid,,13.0,3.0,debt_consolidation, 36 months,071xx,,,37751705
383,CA,60000.0,Individual,12.36,,7 years,driver,16000.0,OWN,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 60 months,913xx,,,37831571
384,NJ,60000.0,Individual,17.29,,< 1 year,Resource Manager,10000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,070xx,,,37751675
385,NY,62000.0,Individual,21.86,,5 years,Financial admin,20400.0,OWN,Dec-2014,Current,,14.0,0.0,debt_consolidation, 60 months,104xx,,,37831563
386,NJ,235000.0,Individual,6.76,,< 1 year,Vice President,20000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 60 months,073xx,,,37741569
387,TN,47380.0,Individual,32.67,,2 years,Consultant,20725.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,370xx,,,36733453
388,NY,80000.0,Individual,18.92,,10+ years,teacher,15000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,home_improvement, 36 months,104xx,,,37601651
389,AZ,52000.0,Individual,20.29,,10+ years,warehouse,4500.0,MORTGAGE,Dec-2014,Charged Off,,8.0,1.0,debt_consolidation, 36 months,853xx,,,37651582
390,CA,79000.0,Individual,23.13,,10+ years,Sr. Technology Specialist,5000.0,MORTGAGE,Dec-2014,Fully Paid,,21.0,0.0,debt_consolidation, 36 months,910xx,,,37801674
391,NV,45000.0,Individual,14.13,,,store manager,4000.0,RENT,Dec-2014,Fully Paid,,17.0,1.0,debt_consolidation, 36 months,890xx,,,37721599
392,FL,56000.0,Individual,20.19,,10+ years,Teacher,15000.0,RENT,Dec-2014,Fully Paid,,19.0,0.0,debt_consolidation, 36 months,339xx,,,37671599
393,TX,34000.0,Individual,23.27,,7 years,Draftsman,10400.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,790xx,,,37711588
394,NJ,50000.0,Individual,16.42,,< 1 year,Hotel Sales Coordinator,6600.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,credit_card, 36 months,082xx,,,37751666
395,NC,30000.0,Individual,9.52,,< 1 year,Customer Care Specialust,7150.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,284xx,,,37771625
396,MI,18000.0,Individual,28.2,,,,1375.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,1.0,debt_consolidation, 36 months,488xx,,,37641601
397,MI,40000.0,Individual,16.68,,3 years,Assistant Store Manager,9650.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,495xx,,,37770653
398,CA,45000.0,Individual,18.57,,3 years,Manager,16000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,959xx,,,37721612
399,OH,38000.0,Individual,22.93,,4 years,Financial Services Analyst,10300.0,RENT,Dec-2014,Current,,11.0,0.0,other, 36 months,432xx,,,37671618
400,OR,65000.0,Individual,8.2,,5 years,UP,4000.0,RENT,Dec-2014,Current,,6.0,1.0,moving, 36 months,972xx,,,37621626
401,MI,41500.0,Individual,23.02,,1 year,Social Worker,11000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,debt_consolidation, 60 months,480xx,,,37841535
402,NY,95000.0,Individual,15.45,,7 years,SEIT,5000.0,OWN,Dec-2014,Current,,9.0,0.0,other, 36 months,114xx,,,37801684
403,MN,85000.0,Individual,29.74,,2 years,District Manager,20000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,563xx,,,37227811
404,NV,95000.0,Individual,17.52,,10+ years,store director,4000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,home_improvement, 36 months,891xx,,,37631586
405,TX,108600.0,Individual,12.76,,10+ years,Senior Systems Engineer,21000.0,MORTGAGE,Dec-2014,Fully Paid,,23.0,0.0,debt_consolidation, 36 months,782xx,,,36280834
406,MA,137240.0,Individual,2.48,,2 years,Manager of Business Process Analysis,9725.0,RENT,Dec-2014,Fully Paid,,9.0,1.0,house, 36 months,024xx,,,37761587
407,NY,23000.0,Individual,8.82,,< 1 year,Security,4800.0,RENT,Dec-2014,Charged Off,,9.0,0.0,moving, 36 months,132xx,,,37731386
408,FL,120000.0,Individual,22.59,,10+ years,Chg RN,24000.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,credit_card, 36 months,337xx,,,37671600
409,KS,60000.0,Individual,10.62,,4 years,Account Leader,8000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,credit_card, 36 months,662xx,,,37661476
410,IL,70000.0,Individual,15.98,,2 years,Supervisor,10200.0,RENT,Dec-2014,Current,,19.0,0.0,debt_consolidation, 36 months,605xx,,,37671634
411,NJ,40000.0,Individual,19.17,,10+ years,nurse,7500.0,OWN,Dec-2014,Fully Paid,,15.0,0.0,credit_card, 36 months,087xx,,,36201550
412,IN,70000.0,Individual,19.01,,10+ years,Sergeant first class,16000.0,MORTGAGE,Dec-2014,Current,,13.0,0.0,debt_consolidation, 36 months,468xx,,,37631629
413,VA,30000.0,Individual,18.04,,10+ years,tech,8500.0,RENT,Dec-2014,Fully Paid,,3.0,0.0,debt_consolidation, 36 months,240xx,,,37831594
414,CA,35300.0,Individual,21.33,,9 years,NURSE ASSISTANT ,10000.0,RENT,Dec-2014,Fully Paid,,21.0,0.0,debt_consolidation, 36 months,945xx,,,37641562
415,IL,69000.0,Individual,6.7,,10+ years,Manuscript Editor,16000.0,RENT,Dec-2014,Current,,9.0,0.0,other, 60 months,600xx,,,37701556
416,AZ,216000.0,Individual,13.8,,10+ years,Staff pathologist,35000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,credit_card, 36 months,852xx,,,37601676
417,CA,105000.0,Individual,16.39,,2 years,Applications Engineer Senior,20000.0,RENT,Dec-2014,Current,,6.0,0.0,debt_consolidation, 60 months,927xx,,,37711626
418,NJ,125000.0,Individual,4.93,,4 years,Investment Grade Salesmen,6075.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,070xx,,,37761091
419,MD,67000.0,Individual,13.4,,10+ years,avp deposit operations,4800.0,MORTGAGE,Dec-2014,Current,,6.0,0.0,credit_card, 36 months,211xx,,,37781712
420,TN,99000.0,Individual,20.77,,10+ years,Credit Manager,15000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,378xx,,,37701058
421,WI,40000.0,Individual,21.39,,10+ years,Criminal Clerk,12000.0,MORTGAGE,Dec-2014,Current,,17.0,0.0,debt_consolidation, 60 months,530xx,,,33411541
422,CA,50000.0,Individual,25.54,,10+ years,Lead QA Analyst,8700.0,RENT,Dec-2014,Fully Paid,,17.0,1.0,credit_card, 36 months,958xx,,,37671596
423,KS,150000.0,Individual,15.25,,10+ years,Engineering Manager,35000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 60 months,660xx,,,37811675
424,PA,115000.0,Individual,15.26,,1 year,Partner Analytics Manager,15000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,190xx,,,37641556
425,MN,34000.0,Individual,14.75,,2 years,Broadband Technician,15525.0,RENT,Dec-2014,Current,,6.0,0.0,credit_card, 60 months,559xx,,,37841522
426,MA,25000.0,Individual,4.46,,2 years,Service Technician,5000.0,OWN,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,016xx,,,37611667
427,NY,37024.0,Individual,22.51,,8 years,Locksmith,11075.0,OWN,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 60 months,120xx,,,37661538
428,MT,85000.0,Individual,11.0,,< 1 year,Operations Management,20000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,credit_card, 36 months,597xx,,,37661489
429,WI,450000.0,Individual,16.88,,9 years,Regional Vice President,35000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 60 months,549xx,,,36743141
430,FL,80000.0,Individual,10.58,,10+ years,teacher asst,12000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,1.0,debt_consolidation, 36 months,329xx,,,37781631
431,NY,85000.0,Individual,16.62,,1 year,construction,24000.0,RENT,Dec-2014,Charged Off,,6.0,1.0,debt_consolidation, 60 months,114xx,,,37811432
432,SC,110000.0,Individual,17.35,,4 years,occupational therapist,20000.0,MORTGAGE,Dec-2014,Current,,37.0,0.0,debt_consolidation, 60 months,294xx,,,37711546
433,NV,55000.0,Individual,14.86,,10+ years,Consumer loan underwriter,15000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 60 months,891xx,,,37821538
434,TX,73000.0,Individual,19.07,,10+ years,District Coordinator,5000.0,MORTGAGE,Dec-2014,Fully Paid,,20.0,1.0,vacation, 36 months,751xx,,,37631545
435,FL,55000.0,Individual,29.51,,10+ years,Social Worker,3075.0,OWN,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,331xx,,,37661515
436,NC,90000.0,Individual,14.64,,4 years,Medical Science Liaison,4800.0,MORTGAGE,Dec-2014,Current,,7.0,0.0,debt_consolidation, 36 months,272xx,,,37831519
437,WV,107500.0,Individual,10.69,,6 years,driver,5000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,261xx,,,37611619
438,CO,60000.0,Individual,35.36,,< 1 year,RN,22800.0,RENT,Dec-2014,Late (31-120 days),,18.0,0.0,debt_consolidation, 60 months,800xx,,,37611658
439,MT,25000.0,Individual,16.54,,10+ years,Manager,7475.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,597xx,,,37640670
440,NJ,137000.0,Individual,10.6,,2 years,Senior Product Manager,28000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,070xx,,,37761536
441,CT,160000.0,Individual,11.21,,7 years,VP of Sales,18000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,067xx,,,37711552
442,FL,51000.0,Individual,10.66,,5 years,Human Services Manager,18000.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,333xx,,,37681551
443,MA,140000.0,Individual,6.41,,< 1 year,Sr ETL Architect,28000.0,MORTGAGE,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 60 months,023xx,,,37611643
444,NY,185000.0,Individual,6.8,,< 1 year,President,25000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,credit_card, 60 months,105xx,,,37661500
445,NY,36180.0,Individual,15.09,,10+ years,Senior Site Rep,15900.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,debt_consolidation, 36 months,104xx,,,37671547
446,TX,87475.0,Individual,9.58,,6 years,Sr. Systems Integration Analyst,17000.0,MORTGAGE,Dec-2014,Current,,17.0,0.0,debt_consolidation, 36 months,750xx,,,36371569
447,PA,21000.0,Individual,26.46,,2 years,Teacher,1000.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,medical, 36 months,172xx,,,37821530
448,NC,85814.0,Individual,21.79,,5 years,ARMY OFFICER,21000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,283xx,,,37681471
449,TX,57600.0,Individual,17.15,,10+ years,Senior Veterinary Technician,10000.0,MORTGAGE,Dec-2014,Fully Paid,,14.0,0.0,debt_consolidation, 36 months,750xx,,,37147785
450,NV,39465.0,Individual,38.14,,7 years,Bingo Agent,13225.0,OWN,Dec-2014,Fully Paid,,17.0,0.0,credit_card, 36 months,891xx,,,36801601
451,IL,100000.0,Individual,7.72,,10+ years,heavy equipment operator,33000.0,MORTGAGE,Dec-2014,Fully Paid,,6.0,0.0,credit_card, 36 months,600xx,,,37700204
452,MO,83000.0,Individual,6.21,,4 years,Sales,12000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,credit_card, 36 months,640xx,,,37680182
453,TX,69000.0,Individual,27.1,,2 years,AML Compliance Officer,12000.0,RENT,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,774xx,,,37661431
454,NY,42000.0,Individual,29.37,,2 years,POS Developer,8000.0,RENT,Dec-2014,Charged Off,,20.0,0.0,debt_consolidation, 36 months,144xx,,,37641524
455,NY,27300.0,Individual,24.43,,10+ years,school bus attendant,9225.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,112xx,,,37771542
456,CA,82500.0,Individual,7.33,,9 years,General Manager,25000.0,RENT,Dec-2014,Fully Paid,,8.0,1.0,small_business, 36 months,925xx,,,37107399
457,CT,35000.0,Individual,16.39,,3 years,Maintenance,5000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,062xx,,,37691519
458,TX,89000.0,Individual,20.43,,10+ years,Business Systems Consultant,13000.0,MORTGAGE,Dec-2014,Fully Paid,,18.0,0.0,major_purchase, 60 months,782xx,,,37681531
459,CA,50000.0,Individual,12.22,,2 years,Communications Manager,10000.0,OWN,Dec-2014,Fully Paid,,4.0,0.0,major_purchase, 36 months,927xx,,,37841472
460,MI,42000.0,Individual,29.66,,< 1 year,Salesman,15000.0,MORTGAGE,Dec-2014,Charged Off,,13.0,0.0,debt_consolidation, 60 months,495xx,,,37761554
461,MN,55000.0,Individual,19.51,,< 1 year,BI Analyst,8500.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,554xx,,,37741493
462,NY,95480.0,Individual,13.3,,3 years,Assoc Director,18000.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,100xx,,,37841457
463,IN,40000.0,Individual,27.0,,9 years,Quality Assurance Specialist,20000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,debt_consolidation, 60 months,462xx,,,37621574
464,VA,55200.0,Individual,27.91,,8 years,Supervisor,20000.0,OWN,Dec-2014,Fully Paid,,19.0,0.0,debt_consolidation, 36 months,230xx,,,37621413
465,GA,50000.0,Individual,19.44,,10+ years,MWO Coordinator I ,10300.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,301xx,,,37601615
466,SC,40000.0,Individual,7.62,,,,10000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 36 months,296xx,,,37631536
467,CT,68000.0,Individual,13.04,,4 years,Hygienist,11750.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,068xx,,,37800296
468,FL,59000.0,Individual,7.57,,,,11000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 60 months,329xx,,,37611270
469,CA,22000.0,Individual,8.95,,,,4200.0,RENT,Dec-2014,Fully Paid,,7.0,2.0,other, 36 months,953xx,,,37601584
470,NC,70000.0,Individual,15.06,,< 1 year,Category Advisor,8000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,0.0,other, 36 months,281xx,,,37751576
471,CA,93808.0,Individual,13.15,,10+ years,Police Corporal,8000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,960xx,,,37841448
472,AZ,61000.0,Individual,18.5,,10+ years,Teacher,6000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,other, 36 months,857xx,,,37741487
473,TX,47000.0,Individual,38.99,,4 years,driver,11200.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,debt_consolidation, 36 months,782xx,,,37751428
474,TX,50000.0,Individual,24.75,,10+ years,Clinical Nurse Manager,11200.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,medical, 36 months,751xx,,,37711505
475,OH,55000.0,Individual,10.02,,2 years,Research Scientist ,10000.0,OWN,Dec-2014,Charged Off,,21.0,1.0,credit_card, 60 months,430xx,,,37751566
476,NJ,117000.0,Individual,15.22,,6 years,Human Resources Manager,21000.0,MORTGAGE,Dec-2014,Current,,18.0,1.0,debt_consolidation, 60 months,078xx,,,37701521
477,MO,35000.0,Individual,13.17,,9 years,sales,7000.0,OWN,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,630xx,,,37611567
478,FL,52000.0,Individual,16.82,,10+ years,service tech,9800.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,328xx,,,37811568
479,CA,61409.0,Individual,26.36,,10+ years,Electrician,13550.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 60 months,957xx,,,37621531
480,AZ,77000.0,Individual,19.12,,4 years,internal auditor senior lll,16000.0,RENT,Dec-2014,Charged Off,,12.0,0.0,home_improvement, 60 months,853xx,,,37641514
481,NY,35000.0,Individual,11.66,,10+ years,CNA,6000.0,RENT,Dec-2014,Fully Paid,,11.0,1.0,debt_consolidation, 36 months,104xx,,,37731460
482,NC,48000.0,Individual,15.7,,10+ years,supervisor,20000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 60 months,274xx,,,37781596
483,AZ,59000.0,Individual,16.84,,10+ years,owner opertor,7000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,853xx,,,37681506
484,GA,145000.0,Individual,23.67,,3 years,Attorney,28000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,credit_card, 36 months,303xx,,,37841426
485,NV,100000.0,Individual,10.37,,6 years,Cstl-pit manager,25000.0,MORTGAGE,Dec-2014,Current,,8.0,1.0,credit_card, 60 months,891xx,,,37751480
486,IN,60000.0,Individual,11.48,,10+ years,Assembler,24000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,468xx,,,37107234
